ID,URL,Title,duration,status,Audio Path,audio_exists,audio_size,audio_status
uZ-d8DESzg0,https://www.youtube.com/watch?v=uZ-d8DESzg0,Situation entre le Bénin et le Niger: à qui cela profite ?,54.22,success,Audios/uZ-d8DESzg0.mp3,True,52033548,ok
1vaF16TtWmo,https://www.youtube.com/watch?v=1vaF16TtWmo,"En tant que parent, doit-on parler de la sexualité avec les enfants",54.37,success,Audios/1vaF16TtWmo.mp3,True,52189865,ok
b6xIcyQ7N9A,https://www.youtube.com/watch?v=b6xIcyQ7N9A,Président Talon en visite au Brésil: le ministre de la culture absent,55.07,success,Audios/b6xIcyQ7N9A.mp3,True,52856092,ok
YHWHeB1Oxuk,https://www.youtube.com/watch?v=YHWHeB1Oxuk,Relation amoureuse entre collègues: que risque l'entreprise ?,19.13,success,Audios/YHWHeB1Oxuk.mp3,True,18355651,ok
Bm_BrAzdQSw,https://www.youtube.com/watch?v=Bm_BrAzdQSw,L'enfant a commis des offenses: comment lui parler sans le maudire ?,48.62,success,Audios/Bm_BrAzdQSw.mp3,True,46664444,ok
F0jNk2Wl1Mc,https://www.youtube.com/watch?v=F0jNk2Wl1Mc,5 nigériens arrêtés au Bénin: quel avenir pour la coopération Bénin-Niger ?,52.18,success,Audios/F0jNk2Wl1Mc.mp3,True,50086276,ok
7HNpBUbMghI,https://www.youtube.com/watch?v=7HNpBUbMghI,Coucher avec sa domestique dans le foyer,15.45,success,Audios/7HNpBUbMghI.mp3,True,14819298,ok
sUoI-LIXUac,https://www.youtube.com/watch?v=sUoI-LIXUac,Il a frappé ses propres parents! peut-on lui pardonner ?,51.05,success,Audios/sUoI-LIXUac.mp3,True,49007524,ok
WPrMvAKI1ks,https://www.youtube.com/watch?v=WPrMvAKI1ks,Comment gérer la popote dans le foyer ?,53.48,success,Audios/WPrMvAKI1ks.mp3,True,51330123,ok
7xM8X7zdTmM,https://www.youtube.com/watch?v=7xM8X7zdTmM,"À la naissance, qui doit donner de prénom à l'enfant ?",53.23,success,Audios/7xM8X7zdTmM.mp3,True,51104007,ok
MBtrbU-6AXY,https://www.youtube.com/watch?v=MBtrbU-6AXY,"Démission du DG/Anip: faux, selon le porte-parole du gouvernement",57.9,success,Audios/MBtrbU-6AXY.mp3,True,55569901,ok
sNlO0XIHZZU,https://www.youtube.com/watch?v=sNlO0XIHZZU,DANTOKPA: déplacer ce marché iconique est-il possible ?,56.73,success,Audios/sNlO0XIHZZU.mp3,True,54449352,ok
1hneGe_yJOI,https://www.youtube.com/watch?v=1hneGe_yJOI,Talon reçoit les émissaires de Tiani,51.32,success,Audios/1hneGe_yJOI.mp3,True,49250776,ok
oTpe54512aM,https://www.youtube.com/watch?v=oTpe54512aM,"Miner sa femme, est-il une bonne pratique ? Avantages et inconvénients",51.83,success,Audios/oTpe54512aM.mp3,True,49754835,ok
MkVnzZ_ZqHk,https://www.youtube.com/watch?v=MkVnzZ_ZqHk,Les origines de la dot _ comparaison avec les tendances actuelles,54.37,success,Audios/MkVnzZ_ZqHk.mp3,True,52190283,ok
j6GsyQKx3Tk,https://www.youtube.com/watch?v=j6GsyQKx3Tk,Fréquence idéale de rapport sexuel en semaine dans un couple (Fongbe),53.13,success,Audios/j6GsyQKx3Tk.mp3,True,51002861,ok
nxieaIVU0Qg,https://www.youtube.com/watch?v=nxieaIVU0Qg,Arrestation de Frère Hounvi : qu'en retient-on ?,47.8,success,Audios/nxieaIVU0Qg.mp3,True,45876591,ok
-EdoqXKzPus,https://www.youtube.com/watch?v=-EdoqXKzPus,Dossier Frère Hounvi: les dernières infos (Fongbe),45.85,success,Audios/-EdoqXKzPus.mp3,True,44003298,ok
mBdOenMXR4k,https://www.youtube.com/watch?v=mBdOenMXR4k,Importance et avantages de la prière dans le foyer (fongbe),49.87,success,Audios/mBdOenMXR4k.mp3,True,47869839,ok
p3OCs0T-Ulc,https://www.youtube.com/watch?v=p3OCs0T-Ulc,Visite à GDIZ : Nicéphore Dieudonné Soglo sidéré,52.58,success,Audios/p3OCs0T-Ulc.mp3,True,50464111,ok
W3NWM0f6R5g,https://www.youtube.com/watch?v=W3NWM0f6R5g,Peut-on exposer ses problèmes de couple au patron de son/sa partenaire ???,55.27,success,Audios/W3NWM0f6R5g.mp3,True,53046681,ok
5m-6qAdMCJg,https://www.youtube.com/watch?v=5m-6qAdMCJg,Elle rentre de l'école très tard: appliquer la chicote ???,15.4,success,Audios/5m-6qAdMCJg.mp3,True,14781682,ok
SXc0wGwhdQY,https://www.youtube.com/watch?v=SXc0wGwhdQY,Bénin: faut-il construire plus de prisons ???,54.1,success,Audios/SXc0wGwhdQY.mp3,True,51934492,ok
zSBVwNf9lpI,https://www.youtube.com/watch?v=zSBVwNf9lpI,Astuces ludique contre le stresse et renforcer le cerveau,8.8,success,Audios/zSBVwNf9lpI.mp3,True,8436226,ok
A3zB2H5vWmM,https://www.youtube.com/watch?v=A3zB2H5vWmM,Secret dans le couple: quel risque ?,51.97,success,Audios/A3zB2H5vWmM.mp3,True,49875207,ok
FOp_Ln93Ii4,https://www.youtube.com/watch?v=FOp_Ln93Ii4,Arrêt définitif des soutenances à la FLLAC ( UAC ),52.7,success,Audios/FOp_Ln93Ii4.mp3,True,50589917,ok
u9kIC2U-E4I,https://www.youtube.com/watch?v=u9kIC2U-E4I,Peut-on divorcer parce que la femme ne fait que des filles ?,51.97,success,Audios/u9kIC2U-E4I.mp3,True,49888164,ok
GFjmlDSHBHI,https://www.youtube.com/watch?v=GFjmlDSHBHI,Accusés de cybercriminalité : des détenus implorent les autorités du pays,55.35,success,Audios/GFjmlDSHBHI.mp3,True,53128601,ok
l0zmTO4uU3s,https://www.youtube.com/watch?v=l0zmTO4uU3s,Affaire Pierre Urbain Dangnivo : quels sorts pour Aloffa et Amoussou ?,11.95,success,Audios/l0zmTO4uU3s.mp3,True,11461414,ok
qeZYzvhWj-w,https://www.youtube.com/watch?v=qeZYzvhWj-w,Affrontement entre éleveurs et cultivateurs: 2 morts à Matéri,10.3,success,Audios/qeZYzvhWj-w.mp3,True,9884872,ok
Z40qnBkqKKQ,https://www.youtube.com/watch?v=Z40qnBkqKKQ,La domestique veut devenir la femme du patron,54.15,success,Audios/Z40qnBkqKKQ.mp3,True,51982139,ok
IksO4hojjP8,https://www.youtube.com/watch?v=IksO4hojjP8,"Signification des cérémonies traditionnelles, messes ou prières après la mort",53.5,success,Audios/IksO4hojjP8.mp3,True,51356454,ok
oImVAT_8PL4,https://www.youtube.com/watch?v=oImVAT_8PL4,SGDS: ramassage des ordures bientôt payant,12.63,success,Audios/oImVAT_8PL4.mp3,True,12127641,ok
DdNAwAPsbJY,https://www.youtube.com/watch?v=DdNAwAPsbJY,"Bénin, cadre de concertation de l'opposition: quelle leçon retenir ?",56.88,success,Audios/DdNAwAPsbJY.mp3,True,54599818,ok
qqZMtrB1p4Y,https://www.youtube.com/watch?v=qqZMtrB1p4Y,"Différent types de cancer, dépistage, traitement, conseils ...",55.9,success,Audios/qqZMtrB1p4Y.mp3,True,53650214,ok
7McALBPRvRw,https://www.youtube.com/watch?v=7McALBPRvRw,Elle a parlé de leur problème de foyer au patron de son mari,52.52,success,Audios/7McALBPRvRw.mp3,True,50415210,ok
GzP5M2fvSwQ,https://www.youtube.com/watch?v=GzP5M2fvSwQ,Affaire de cadeaux en fin d'année: comment s'en sort-on dans les foyers ?,54.62,success,Audios/GzP5M2fvSwQ.mp3,True,52429355,ok
fS-LsJGf2ls,https://www.youtube.com/watch?v=fS-LsJGf2ls,BÉNIN: audit de la liste électorale _ émission ''Mɛ tomɛ xό'' 13.12.2024,52.37,success,Audios/fS-LsJGf2ls.mp3,True,50261819,ok
kZ8EZi3I-qs,https://www.youtube.com/watch?v=kZ8EZi3I-qs,Elle impose à son mari comment organiser les fêtes (fongbé),53.9,success,Audios/kZ8EZi3I-qs.mp3,True,51732618,ok
DtVZfhbrFbs,https://www.youtube.com/watch?v=DtVZfhbrFbs,"Préparatifs des Vodoun Days, Recrutement de 2000 policiers pour 2025...",51.63,success,Audios/DtVZfhbrFbs.mp3,True,49564245,ok
_HbIhyfDVNw,https://www.youtube.com/watch?v=_HbIhyfDVNw,Discours du Chef de l'Etat: réaction de l'opposition // Consultation prénatale désormais gratuite...,52.6,success,Audios/_HbIhyfDVNw.mp3,True,50494622,ok
OYinJTW2ALM,https://www.youtube.com/watch?v=OYinJTW2ALM,Les Vodun Days - Le mythe sur le mois de Janvier || Émission '' Mɛ tomɛ xό du 10 JAN.2025,50.77,success,Audios/OYinJTW2ALM.mp3,True,48734178,ok
sajSnjy55eQ,https://www.youtube.com/watch?v=sajSnjy55eQ,Des incendies répétées : malveillance ou négligence ? || Émission '' Mɛ tomɛ xό du 17 JAN.2025,52.0,success,Audios/sajSnjy55eQ.mp3,True,49915749,ok
uU-plpCFlNk,https://www.youtube.com/watch?v=uU-plpCFlNk,La HAAC donne une sanction dure et exemplaire  || Mɛ tomɛ xό Du 24 JAN.2025,50.12,success,Audios/uU-plpCFlNk.mp3,True,48113927,ok
r_yJlDl9oew,https://www.youtube.com/watch?v=r_yJlDl9oew,...et le tonnerre prenait la défense des innocents!!! _ Mɛ tomɛ xό Du 31 JAN.2025,46.8,success,Audios/r_yJlDl9oew.mp3,True,44919047,ok
izD-_2X_1P8,https://www.youtube.com/watch?v=izD-_2X_1P8,Gbejimanɔ sɔgbe xá Biblu (L'infidélité selon la bible) - émision ''Mɛ tomɛ xό'' 07.02.2025,53.28,success,Audios/izD-_2X_1P8.mp3,True,51142041,ok
b3AwjLMIh7E,https://www.youtube.com/watch?v=b3AwjLMIh7E,(Fongbé) Supposé 3è mandat : explication de Théodore HOLO,53.33,success,Audios/b3AwjLMIh7E.mp3,True,51199720,ok
EEdFKBSoOpU,https://www.youtube.com/watch?v=EEdFKBSoOpU,(Fongbé) Comment annoncer à sa femme qu'on a une famille dehors 🤔?,49.68,success,Audios/EEdFKBSoOpU.mp3,True,47698058,ok
Q3EjaarEyfU,https://www.youtube.com/watch?v=Q3EjaarEyfU,(Fongbé) Santé: scanner ultra moderne acquis pour le CNHU,51.5,success,Audios/Q3EjaarEyfU.mp3,True,49430498,ok
eVX3KhyPPXk,https://www.youtube.com/watch?v=eVX3KhyPPXk,(Fongbé) Violences conjugales : conséquences sur les enfants,47.1,success,Audios/eVX3KhyPPXk.mp3,True,45210364,ok
s9yqjEu99Z8,https://www.youtube.com/watch?v=s9yqjEu99Z8,(Fongbé) Réussir sa vie de couple : les secrets _ Mɛ tomɛ xό' Émission du 14 03 2025,53.83,success,Audios/s9yqjEu99Z8.mp3,True,51670342,ok
97Fz0fV2x7Q,https://www.youtube.com/watch?v=97Fz0fV2x7Q,(Fongbé) Affaire Dangnivo: que reproche t-on au Président Boni YAYI || Mɛ tomɛ xό'  Du 21 03 2025,49.57,success,Audios/97Fz0fV2x7Q.mp3,True,47578939,ok
2eA5sOui4yQ,https://www.youtube.com/watch?v=2eA5sOui4yQ,(Fongbé) Elle dit être célibataire alors qu'elle est mariée _ mɛ tomɛ xό  Du 04 Avril 2025,47.28,success,Audios/2eA5sOui4yQ.mp3,True,45383400,ok
Ypgetsr_2pg,https://www.youtube.com/watch?v=Ypgetsr_2pg,(Fongbe) Les ratés du gouvernement Talon en 09 ans,52.72,success,Audios/Ypgetsr_2pg.mp3,True,50599530,ok
IF2QC7T9BzE,https://www.youtube.com/watch?v=IF2QC7T9BzE,(Fongbe) Du foyer à la Justice: les causes non évoquées,46.72,success,Audios/IF2QC7T9BzE.mp3,True,44849666,ok
2MgbNPaBdJQ,https://www.youtube.com/watch?v=2MgbNPaBdJQ,(Fongbe) Les impacts de la richesse dans un ménage,52.33,success,Audios/2MgbNPaBdJQ.mp3,True,50240503,ok
Nl03D6YDB8k,https://www.youtube.com/watch?v=Nl03D6YDB8k,BANDE D ANNONCE EMISSION AZƆN XÓ,0.93,success,Audios/Nl03D6YDB8k.mp3,True,880778,ok
uG6xUqeyDok,https://www.youtube.com/watch?v=uG6xUqeyDok,EMISSION SANTE AZONXO,46.52,success,Audios/uG6xUqeyDok.mp3,True,44654479,ok
0IRgvVk_bwY,https://www.youtube.com/watch?v=0IRgvVk_bwY,EMISSION SANTE AZONXO,53.43,success,Audios/0IRgvVk_bwY.mp3,True,51281640,ok
8IPy-LejzGg,https://www.youtube.com/watch?v=8IPy-LejzGg,AZONXO,53.23,success,Audios/8IPy-LejzGg.mp3,True,51093976,ok
GGptvVwPGeo,https://www.youtube.com/watch?v=GGptvVwPGeo,Le Journal en FON - Eden TV – 07 Juillet 2023 par Espoir HOUNMABOU,16.47,success,Audios/GGptvVwPGeo.mp3,True,15800667,ok
XX_CbB1aJy0,https://www.youtube.com/watch?v=XX_CbB1aJy0,Le Journal en AÏZO - Eden TV – 06 Juillet 2023 par Martin KOUDENOUKPO,16.28,success,Audios/XX_CbB1aJy0.mp3,True,15623452,ok
yAyVKWoO2mo,https://www.youtube.com/watch?v=yAyVKWoO2mo,Le Journal en FON - Eden TV – 05 Juillet 2023 par Espoir HOUNMABOU,14.05,success,Audios/yAyVKWoO2mo.mp3,True,13478903,ok
h4ptH3g1hGQ,https://www.youtube.com/watch?v=h4ptH3g1hGQ,Le Journal en FON - Eden TV – 30 Juin 2023 par Espoir HOUNMABOU,15.27,success,Audios/h4ptH3g1hGQ.mp3,True,14645845,ok
rSKOTk3rAoY,https://www.youtube.com/watch?v=rSKOTk3rAoY,Le Journal en AÏZO - Eden TV – 27 Juin 2023 par Martin KOUDENOUKPO,12.9,success,Audios/rSKOTk3rAoY.mp3,True,12377163,ok
CaUX_OnI7u4,https://www.youtube.com/watch?v=CaUX_OnI7u4,Le Journal en FON - Eden TV – 28 Juin 2023 par Espoir HOUNMABOU,14.2,success,Audios/CaUX_OnI7u4.mp3,True,13618920,ok
ZDdzf6fQXpc,https://www.youtube.com/watch?v=ZDdzf6fQXpc,Le Journal en FON - Eden TV – 10 Juillet 2023 par Espoir HOUNMABOU,12.92,success,Audios/ZDdzf6fQXpc.mp3,True,12395553,ok
BtOqztpTJXw,https://www.youtube.com/watch?v=BtOqztpTJXw,Le Journal en AÏZO - Eden TV – 11 Juillet 2023 par Martin KOUDENOUKPO,13.3,success,Audios/BtOqztpTJXw.mp3,True,12765865,ok
RnGbjSDU0sM,https://www.youtube.com/watch?v=RnGbjSDU0sM,Le Journal en FON - Eden TV – 12 Juillet 2023 par Gildas HONFO,13.72,success,Audios/RnGbjSDU0sM.mp3,True,13164598,ok
86Bvv2fEitM,https://www.youtube.com/watch?v=86Bvv2fEitM,Le Journal en AÏZO - Eden TV – 13 Juillet 2023 par Martin KOUDENOUKPO,16.87,success,Audios/86Bvv2fEitM.mp3,True,1390,ok
twh13q4on4k,https://www.youtube.com/watch?v=twh13q4on4k,Le Journal en FON - Eden TV – 14 Juillet 2023 par Espoir HOUNMABOU,15.65,success,Audios/twh13q4on4k.mp3,True,15016157,ok
jJGvMF5iWYg,https://www.youtube.com/watch?v=jJGvMF5iWYg,Le Journal en FON - Eden TV – 17 Juillet 2023 par Espoir HOUNMABOU,16.67,success,Audios/jJGvMF5iWYg.mp3,True,15994600,ok
sJuZVCowbTU,https://www.youtube.com/watch?v=sJuZVCowbTU,Le Journal en AÏZO - Eden TV – 18 Juillet 2023 par Martin KOUDENOUKPO,16.62,success,Audios/sJuZVCowbTU.mp3,True,15941937,ok
yH_VNZQU_Ag,https://www.youtube.com/watch?v=yH_VNZQU_Ag,Le Journal en FON - Eden TV – 19 Juillet 2023 par Espoir HOUNMABOU,13.68,success,Audios/yH_VNZQU_Ag.mp3,True,13125310,ok
mFq0R84Rips,https://www.youtube.com/watch?v=mFq0R84Rips,Le Journal en AÏZO - Eden TV – 20 Juillet 2023 par Martin KOUDENOUKPO,14.07,success,Audios/mFq0R84Rips.mp3,True,13493950,ok
DRJehy8P0Tc,https://www.youtube.com/watch?v=DRJehy8P0Tc,Le Journal en FON - Eden TV – 24 Juillet 2023 par Espoir HOUNMABOU,14.73,success,Audios/DRJehy8P0Tc.mp3,True,14135935,ok
9sbtUVms3A0,https://www.youtube.com/watch?v=9sbtUVms3A0,Le Journal en AÏZO - Eden TV – 25 Juillet 2023 par Martin KOUDENOUKPO,13.98,success,Audios/9sbtUVms3A0.mp3,True,13415373,ok
UhZApb9dXgM,https://www.youtube.com/watch?v=UhZApb9dXgM,Le Journal en FON - Eden TV – 25 Juillet 2023 par Espoir HOUNMABOU,13.93,success,Audios/UhZApb9dXgM.mp3,True,13361875,ok
f2Q4W5k1aOo,https://www.youtube.com/watch?v=f2Q4W5k1aOo,Le Journal en AÏZO - Eden TV – 27 Juillet 2023 par Martin KOUDENOUKPO,13.37,success,Audios/f2Q4W5k1aOo.mp3,True,12816856,ok
W2Ww0WPiNxw,https://www.youtube.com/watch?v=W2Ww0WPiNxw,Le Journal en FON - Eden TV – 28 Juillet 2023 par Espoir HOUNMABOU,17.23,success,Audios/W2Ww0WPiNxw.mp3,True,16536693,ok
lcrmbJh5Rp8,https://www.youtube.com/watch?v=lcrmbJh5Rp8,Le Journal en FON - Eden TV – 31 Juillet 2023 par Espoir HOUNMABOU,16.73,success,Audios/lcrmbJh5Rp8.mp3,True,16057711,ok
r4alFhiZAzs,https://www.youtube.com/watch?v=r4alFhiZAzs,Le Journal en FON - Eden TV – 02 Août 2023 par Espoir HOUNMABOU,13.55,success,Audios/r4alFhiZAzs.mp3,True,13005773,ok
z01inpJuiaY,https://www.youtube.com/watch?v=z01inpJuiaY,Le Journal en AÏZO - Eden TV – 03 AOÛT 2023 par Martin KOUDENOUKPO,11.52,success,Audios/z01inpJuiaY.mp3,True,11045127,ok
LRVnTe22RW4,https://www.youtube.com/watch?v=LRVnTe22RW4,Le Journal en FON - Eden TV – 04 Août 2023 par Espoir HOUNMABOU,15.35,success,Audios/LRVnTe22RW4.mp3,True,14728183,ok
