ID,URL,Title,Duration (minutes),Status,Audio Path
c-KUxREO2aY,https://www.youtube.com/watch?v=c-KUxREO2aY,BELMONDE Z SUR L'ÉMISSION GAN KO XO,19.37,success,Audios/c-KUxREO2aY.mp3
3WUW6ciDBcY,https://www.youtube.com/watch?v=3WUW6ciDBcY,Mɔjɛmɛ II FÂ tout savoir sur Troukpin - Boyi AVEC BOCONON AGNANDJI,14.58,success,Audios/3WUW6ciDBcY.mp3
a4R5eHRRnAU,https://www.youtube.com/watch?v=a4R5eHRRnAU,GAN KO XO II DOIT-ON FOUILLER LE TÉLÉPHONE DE SON/SA CONJOINT(E) ?,60.48,success,Audios/a4R5eHRRnAU.mp3
ouYY4BHArhg,https://www.youtube.com/watch?v=ouYY4BHArhg,Tout savoir sur le jeûne musulman,17.9,success,Audios/ouYY4BHArhg.mp3
7qgsjvr92bQ,https://www.youtube.com/watch?v=7qgsjvr92bQ,Sosso GG sur l'émission GAN KO XO,18.2,success,Audios/7qgsjvr92bQ.mp3
OCZzNlh7LGA,https://www.youtube.com/watch?v=OCZzNlh7LGA,Bande annonce,1.0,success,Audios/OCZzNlh7LGA.mp3
39wcIUDnaM8,https://www.youtube.com/watch?v=39wcIUDnaM8,GAN KO XO II Est-il bon de fuir la maison familiale? @fannysenan4666,59.8,success,Audios/39wcIUDnaM8.mp3
tK7irmheFNU,https://www.youtube.com/watch?v=tK7irmheFNU,BANDE ANNONCE #GANKOXO,1.0,success,Audios/tK7irmheFNU.mp3
hzTa64L66y0,https://www.youtube.com/watch?v=hzTa64L66y0,GAN KO XO II L'Amour sans l'argent existe-t-il encore de nos jours ? @ElifazTv,64.2,success,Audios/hzTa64L66y0.mp3
bCELXQGHWco,https://www.youtube.com/watch?v=bCELXQGHWco,Elifaz sur votre émission GAN KO XO @ElifazTv,19.75,success,Audios/bCELXQGHWco.mp3
92vmj_24iWo,https://www.youtube.com/watch?v=92vmj_24iWo,Fâ: TI DIGBLI YÊKOU,19.28,success,Audios/92vmj_24iWo.mp3
UexAZGxyScA,https://www.youtube.com/watch?v=UexAZGxyScA,BANDE ANNONCE #GANKOXO DU DIMANCHE 28 MAI 2022,0.77,success,Audios/UexAZGxyScA.mp3
UapgvzYkOXQ,https://www.youtube.com/watch?v=UapgvzYkOXQ,GAN KO XO II La fréquentation d'un lieu de culte est-elle synonyme d'avoir la foi ?,53.52,success,Audios/UapgvzYkOXQ.mp3
7JwWO5cwYoE,https://www.youtube.com/watch?v=7JwWO5cwYoE,GAN KO XO II FÂ: WOLI OFOU,9.47,success,Audios/7JwWO5cwYoE.mp3
dBGvTl6-sO0,https://www.youtube.com/watch?v=dBGvTl6-sO0,Domestique: Pour ou contre? @AfountountounOfficiel,0.98,success,Audios/dBGvTl6-sO0.mp3
I8qRmBt4j_Q,https://www.youtube.com/watch?v=I8qRmBt4j_Q,GAN KO XO II Pour ou contre le recrutement de domestique @AfountountounOfficiel,61.28,success,Audios/I8qRmBt4j_Q.mp3
